Filename,Sudoku Number,Clues Given,Time to Complete (ms),Difficulty Level
25x25,1,398,2000.0,easy
25x25,2,333,2000.0,easy
25x25,3,383,2000.0,easy
25x25,4,316,2000.0,easy
25x25,5,317,2000.0,easy
25x25,6,315,2000.0,easy
25x25,7,335,2000.0,easy
25x25,8,325,2000.0,easy
25x25,9,297,2000.0,easy
25x25,10,387,2000.0,easy
25x25,1,352,2000.0,expert
25x25,2,339,2000.0,expert
25x25,3,448,2000.0,expert
25x25,4,337,2000.0,expert
25x25,5,348,2000.0,expert
25x25,6,316,2000.0,expert
25x25,1,393,2000.0,hard
25x25,2,382,2000.0,hard
25x25,3,348,2000.0,hard
25x25,4,353,2000.0,hard
25x25,5,409,2000.0,hard
25x25,1,374,2000.0,medium
25x25,2,397,2000.0,medium
25x25,3,320,2000.0,medium
25x25,4,311,2000.0,medium
25x25,5,376,2000.0,medium
25x25,6,303,2000.0,medium
25x25,7,299,2000.0,medium
25x25,8,432,2000.0,medium
25x25,9,382,2000.0,medium
25x25,10,307,2000.0,medium
