Filename,Sudoku Number,Clues Given,Time to Complete (ms),Difficulty Level
16x16,1,158,2000.0,easy
16x16,2,145,2000.0,easy
16x16,3,162,2000.0,easy
16x16,4,196,2000.0,easy
16x16,5,154,2000.0,easy
16x16,6,162,2000.0,easy
16x16,7,154,2000.0,easy
16x16,8,151,2000.0,easy
16x16,9,190,2000.0,easy
16x16,10,156,2000.0,easy
16x16,1,112,2000.0,expert
16x16,2,155,2000.0,expert
16x16,3,146,2000.0,expert
16x16,4,150,2000.0,expert
16x16,5,172,2000.0,expert
16x16,1,191,2000.0,hard
16x16,2,152,2000.0,hard
16x16,3,188,2000.0,hard
16x16,4,158,2000.0,hard
16x16,5,163,2000.0,hard
16x16,1,162,2000.0,medium
16x16,2,151,2000.0,medium
16x16,3,162,2000.0,medium
16x16,4,198,2000.0,medium
16x16,5,155,2000.0,medium
16x16,6,197,2000.0,medium
16x16,7,155,2000.0,medium
16x16,8,161,2000.0,medium
16x16,9,152,2000.0,medium
16x16,10,159,2000.0,medium
